;;Mega;Luminus;Engie;Total Energie;Bolt;Luminus BXL;Total BXL;Eneco;Date
Prix  injection;;0,0135;0,0235;0,02625;-0,0156;0,0649;0,0235;-0,0156;0,0389;juin-25
prix  énergie;;0,1587;0,1703;0,16655;0,1571;0,1485;0,2085;0,1753;0,1664;
frais de distribution Resa;;0,1062;0,1062;0,1062;0,1062;0,1062;0,0941;0,0941;0,098;
frais de transport Resa;;0,032;0,032;0,032;0,032;0,032;0,0225;0,0225;0,0212;
frais de distribution terme fixe Resa;;26,5;26,5;26,5;26,5;26,5;13,55;13,55;25,79;
Redevance de raccordement ;;0,00075;0,00075;0,00075;0,00075;0,00075;0;0;0,00075;
Accise spéciale;;0,050329;0,050329;0,050329;0,050329;0,050329;0,050329;0,050329;0,050329;
Cotisation sur l'énergie;;0,002042;0,002042;0,002042;0,002042;0,002042;0,002042;0,002042;0,002042;
Cotisation Verte (€/an) ;;0,032;0,0303;0,0309;0,0293;0,0302;0,0291;0,0295;0,0312;
Tarif Prosumer Resa;;85,94;85,94;85,94;85,94;85,94;0;0;85,94;
Redevance fixe (€/an) ;;143,01;25;69;90;131,88;65;90;65;
Forfait panneaux solaires (€/kVA par mois);;7,07;0;0;0;0;0;0;0;
Forfait partage d'énergie (€/an) ;;90,75;150;121;0;0;0;0;124,63;
